prefix,URI
airs,https://raw.githubusercontent.com/airs-linked-data/lov/latest/src/airs_vocabulary.ttl#
cbo,http://comicmeta.org/cbo/
cff,http://purl.oclc.org/NET/ssnx/cf/cf-feature#
cwork,http://www.bbc.co.uk/ontologies/creativework/
daq,http://purl.org/eis/vocab/daq#
date,http://contextus.net/ontology/ontomedia/misc/date#
decision,https://decision-ontology.googlecode.com/svn/trunk/decision.owl#
demlab,http://www.demcare.eu/ontologies/demlab.owl#
dm2e,http://onto.dm2e.eu/schemas/dm2e/
eclap,http://www.eclap.eu/schema/eclap/
essglobal,http://purl.org/essglobal/vocab/v1.0/
lawd,http://lawd.info/ontology/
llont,http://www.linklion.org/ontology#
mtlo,http://www.ics.forth.gr/isl/MarineTLO/v4/marinetlo.owl#
ofrd,http://purl.org/opdm/refrigerator#
phdd,http://rdf-vocabulary.ddialliance.org/phdd#
r4r,http://guava.iis.sinica.edu.tw/r4r/
remetca,http://www.purl.org/net/remetca#
saws,http://purl.org/saws/ontology#
traffic,http://www.sensormeasurement.appspot.com/ont/transport/traffic#
vag,http://www.essepuntato.it/2013/10/vagueness/
